endTime,artistName,trackName,msPlayed
2021-05-28 01:24,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,341747
2021-05-28 01:28,The Temper Trap,Sweet Disposition,231547
2021-05-28 01:32,Vantage,Dancing All Night,235000
2021-05-28 01:36,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",207333
2021-05-28 01:40,8D Tunes,Everywhere (8D Audio),259677
2021-05-28 01:44,Robin Schulz,Sugar (feat. Francesco Yates),219043
2021-05-28 01:48,Black Pumas,Colors,246587
2021-05-28 01:53,Milky Chance,Stolen Dance,313684
2021-05-28 01:57,Poncho,Please Me,268466
2021-05-28 02:02,Empire of the Sun,We Are The People,272175
2021-05-28 02:06,Foster The People,Pumped Up Kicks,239600
2021-05-28 02:10,8D Tunes,Everywhere (8D Audio),259677
2021-05-28 02:13,David Zowie,House Every Weekend - Radio Edit,182767
2021-05-28 02:17,Cage The Elephant,Come A Little Closer,229347
2021-05-28 02:27,99 Souls,The Girl Is Mine,1535
2021-05-28 12:59,Christian Locke,Atom Bomb,4350
2021-05-28 13:03,Christian Locke,Atom Bomb,206596
2021-05-28 13:06,Christian Locke,Atom Bomb,206596
2021-05-28 13:08,Christian Locke,Atom Bomb,44806
2021-05-28 13:13,Black Pumas,Colors,246586
2021-05-28 13:17,Vantage,Dancing All Night,235000
2021-05-28 13:21,Blur,Girls & Boys,259386
2021-05-28 13:25,The Temper Trap,Sweet Disposition,231546
2021-05-28 13:29,Empire of the Sun,We Are The People,0
2021-05-28 13:29,Empire of the Sun,We Are The People,203280
2021-05-28 13:43,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,1623
2021-05-28 14:40,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,340414
2021-05-28 15:43,Empire of the Sun,We Are The People,36625
2021-05-28 15:47,Black Pumas,Colors,246586
2021-05-28 15:52,Poncho,Please Me,268466
2021-05-28 15:56,The Temper Trap,Sweet Disposition,231546
2021-05-28 16:00,8D Tunes,Everywhere (8D Audio),259677
2021-05-28 16:00,Empire of the Sun,We Are The People,15933
2021-05-28 16:05,Poncho,Please Me,268466
2021-05-28 16:09,The Temper Trap,Sweet Disposition,231546
2021-05-28 16:14,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,341746
2021-05-28 16:18,Black Pumas,Colors,246586
2021-05-28 16:23,Black Pumas,Colors,246586
2021-05-28 16:26,Tame Impala,The Less I Know The Better,216320
2021-05-28 16:30,8D Tunes,Everywhere (8D Audio),259677
2021-05-28 16:34,99 Souls,The Girl Is Mine,216613
2021-05-28 16:38,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",207333
2021-05-28 16:40,Route 94,Fever - Edit,174374
2021-05-28 16:46,Milky Chance,Stolen Dance,313684
